name of company,salary
DRISHTI SOFT SOLUTIONS,"₹355,795/yr"
NETREACH ASIA,"₹441,246/yr"
ADITI,"₹37,439/mo"
PLEXITECH TECHNOLOGIES,"₹119,065/yr"
FAROOK,"₹40,395/mo"
MINDCRAFT SOFTWARE,"₹644,056/yr"
GE DIGITAL,"₹1,062,283/yr"
PROFESSIONAL ACCESS,"₹419,726/yr"
SHRIRAM VALUE SERVICES,"₹283,541/yr"
DIGITÉ,"₹584,216/yr"
INFOS,"₹180,000/yr"
ABM KNOWLEDGEWARE,"₹319,791/yr"
MAXGEN TECHNOLOGIES,"₹220,000/yr"
UNOTECH SOFTWARE,"₹322,686/yr"
ACCORD FINTECH,"₹307,000/yr"
AUTOMOTIVE COMMODITY EXCHANGE,"₹764,950/yr"
TELVENT,"₹1,764,367/yr"
PLAY GAMES24X7,"₹997,473/yr"
VERVALI SYSTEMS,"₹558,182/yr"
BURRP!,"₹992,786/yr"
SNSEPRO,"₹27,708/mo"
CBSI (MI),"₹641,812/yr"
ANAYAN SOFTWARE CONSULTANCY,"₹27,708/mo"
IKS HEALTH,"₹350,857/yr"
RELIGARE TECHNOVA,"₹494,023/yr"
STORYMIRROR,"₹517,642/yr"
TEAM COMPUTERS,"₹17,543/mo"
SODEL SOLUTIONS,"₹701,543/yr"
VISTAPRINT,"₹974,546/yr"
ADEPT CONSULTING AND SERVICES,"₹795,926/yr"
SAVVION,"₹1,249,418/yr"
SMILE AUTOMATION,"₹30,255/mo"
RELIANCE COMMUNICATIONS,"₹128,452/yr"
BARC,"₹69,773/mo"
QUALITYKIOSK,"₹26,751/mo"
PUNEET ART & ENGINEERING STUDIO,"₹1,096,428/yr"
FRACTAL ANALYTICS,"₹30,497/mo"
UNIKAIHATSU SOFTWARE,"₹775,149/yr"
SYNTROSYS,"₹12,995/mo"
WEB WERKS,"₹598,052/yr"
SUSHIL VASHISHT,"₹479,330/yr"
UNISTANZ,"₹25,498/mo"
CREDIT SUISSE,"₹957,887/yr"
BROCADE,"₹993,927/yr"
EQUIFAX,"₹483,042/yr"
4GL SOLUTIONS,"₹11,083/mo"
LUMINA DATAMATICS,"₹233,808/yr"
EXPERIS INDIA,"₹16,404/mo"
ACCENTURE,"₹299,512/yr"
FLIPKART,"₹25,498/mo"
KLOUDDATA,"₹22,086/mo"
UNITECH,"₹221,661/yr"
PAYJOY,"₹877,143/yr"
PAYCRAFT SOLUTIONS,"₹275,000/yr"
ARANCA,"₹30,595/mo"
TATA COMMUNICATIONS,"₹664,502/yr"
MAXIMUS INFOWARE,"₹24,603/mo"
INTUITTHINGS,"₹328,928/yr"
LATERAL EM SOFT,"₹274,107/yr"
IGP.COM,"₹885,577/yr"
IBM INDIA,"₹374,390/yr"
KIAORA EXPRESS,"₹114,552/yr"
CYGNET INFOTECH,"₹114,552/mo"
AVENUES INDIA,"₹22,086/mo"
INTERACTCRM,"₹17,849/mo"
JAYANT GOLHAR,"₹294,061/yr"
THINKING HUT IT SOLUTIONS,"₹11,164/mo"
IOTAP,"₹411,686/yr"
XENIUM DIGITAL,"₹25,491/mo"
INFOTECH,"₹454,815/yr"
APMOSYS TECHNOLOGIES,"₹332,491/yr"
TECOGIS,"₹30,567/mo"
ABHISEK,"₹18,450/mo"
APPSEMBLY,"₹332,491/yr"
AAAAA RENT-A-SPACE,"₹27,000/mo"
MERIL LIFE SCIENCES,"₹16,158/mo"
KGFSL,"₹141,149/yr"
SOFTWARE DEVELOPERS,"₹49,919/mo"
VIVACONNECT,"₹34,238/mo"
MRCCTECHFORZA,"₹9,708/mo"
JEET TECHNO SOLUTIONS,"₹24,959/mo"
NIXON,"₹25,877/mo"
WORLD WIDE TECHNOLOGY,"₹12,183/mo"
ELYSIUM TECHNOLOGIES,"₹5,881/mo"
EDUPRISTINE,"₹664,502/yr"
ALFRED GOBAR ASSOC,"₹520,902/yr"
CALSOFT,"₹566,421/yr"
INFOMEDIA18,"₹998,374/yr"
KAPALINE DIGITAL MEDIA & CONSULTANCY SERVICES,"₹280,152/yr"
MAHINDRA SATYAM,"₹235,249/yr"
ORANGE,"₹16,625/mo"
REVOLUX SOLUTIONS,"₹350,000/yr"
ON DEMAND AGILITY,"₹1,067,826/yr"
CLOUDFINCH INC.,"₹350,190/yr"
MYGLAMM,"₹1,020,000/yr"
OSG INFOTECH,"₹275,807/yr"
MIT,"₹2,006,535/yr"
VYOM LABS,"₹305,980/yr"
DIGITECH ELECTRONIC SYSTEMS,"₹11,403/mo"
STATE BANK OF INDIA,"₹37,439/mo"
NOVANET,"₹548,214/yr"
XESOT TECHNOLOGIES,"₹180,000/yr"
ADDIT INFOTECH,"₹16,446/mo"
TEKSHAPERS,"₹100,000/mo"
MSERVICES,"₹13,300/mo"
CODEBOX,"₹18,639/mo"
ENABLEM,"₹19,187/mo"
MELSTAR INFORMATION TECHNOLOGIES,"₹682,222/yr"
ACCORD INFOSYSTEMS,"₹436,788/yr"
VALUE CONSULTING,"₹14,976/mo"
GREEKSOFT TECHNOLOGIES,"₹423,448/yr"
TANDON GROUP,"₹33,225/mo"
VERTOZ,"₹13,300/mo"
AKBAR TRAVELS OF INDIA,"₹45,897/mo"
VISTAR CORPORATION,"₹350,000/yr"
CURRENT,"₹236,154/yr"
DELL,"₹518,206/yr"
AMAZON,"₹20,399/mo"
AIRSPAN,"₹97,000/mo"
CLOVER,"₹21,544/mo"
ASENTECH,"₹46,165/mo"
GLODYNE TECHNOSERVE LIMITED,"₹724,382/yr"
VERDANTIS,"₹436,788/yr"
DOTCOM SERVICES (INDIA),"₹13,900/mo"
BEWAKOOF BRANDS,"₹124,797/mo"
TURTLEMINT,"₹1,116,364/yr"
DOXPER ,"₹1,329,964/yr"
EBAOTECH,"₹1,369,516/yr"
STATE STREET SYNTEL,"₹443,321/yr"
VICTRA-VERIZON AUTHORIZED RETAILER,"₹16,625/mo"
IT TRAILBLAZERS,"₹470,498/yr"
IL&FS,"₹3,886,074/yr"
NATIONAL STOCK EXCHANGE OF INDIA,"₹630,446/yr"
LIBERTY VIDEOCON GENERAL INSURANCE,"₹31,868/mo"
SANKEY SOLUTIONS,"₹304,967/yr"
SABINFO TECHNOLOGIES,"₹12,239/mo"
OSOURCE INDIA PVT.,"₹428,372/yr"
GREYSOFT SOLUTIONS,"₹159,596/yr"
ESPIRE SYSTEM,"₹17,849/mo"
GNOSIS INFOTECH,"₹49,402/mo"
GREENSTACK COMPUTING,"₹1,385,763/yr"
IXIA SOLUTIONS,"₹609,933/yr"
TRUNKOZ GROUP,"₹17,509/mo"
WEBSHAR,"₹632,990/yr"
MICRO,"₹37,662/mo"
ACE DERIVATIVES & COMMODITY EXCHANGE,"₹12,480/mo"
BARITONE SOLUTIONS,"₹16,625/mo"
IVP (INDIA),"₹720,397/yr"
CRIMSON INTERACTIVE,"₹441,727/yr"
GENPACT,"₹442,378/yr"
BEDBATHMORE,"₹998,374/yr"
SILVEREYE SOFTWARE SOLUTIONS,"₹211,946/yr"
KONVERSATIONS,"₹509,966/yr"
INDIABULLS,"₹25,477/mo"
VENUSLABS WEB SOLUTIONS,"₹1,506,748/yr"
GEETA TECHNOSYS,"₹316,495/yr"
FALKONRY,"₹21,929/mo"
SOURCEONE,"₹424,703/yr"
ANLAGE HRO SERVICES,"₹263,746/yr"
MARLABS,"₹494,023/yr"
REMARKABLE SOFTWARE SERVICES,"₹11,762/mo"
PANORAMIC UNIVERSAL LIMITED,"₹193,217/yr"
PARINATI SOLUTIONS,"₹10,196/mo"
RAJA SOFTWARE LABS,"₹623,983/yr"
SIMPLE LOGIC,"₹22,327/mo"
PERICENT,"₹456,694/yr"
GATEWAY TECHNOLABS,"₹33,130/mo"
BP,"₹119,922/yr"
CLEANAWAY,"₹352,873/yr"
TESCO,"₹588,122/yr"
ABC SOFTWARES,"₹758,024/yr"
ZIM WORLD FREIGHT,"₹23,210/mo"
IT GURUS SOFTWARE,"₹279,091/yr"
MYNTRA,"₹538,775/yr"
INFINX HEALTHCARE,"₹40,797/mo"
TCS COMMUNICATIONS,"₹713,953/yr"
AGILE FINANCIAL TECHNOLOGIES,"₹41,169/mo"
YAHOO INDIA,"₹588,122/yr"
PARITY CUBE,"₹705,747/yr"
HECKYL TECHNOLOGIES,"₹26,649/mo"
HMK,"₹13,445/mo"
FLEXILOANS TECHNOLOGIES,"₹1,101,527/yr"
ZOPPER,"₹29,578/mo"
